form	lemma	POS
pouder	poder	VERB
que	qui	PRON
fous	èsser	VERB
pus	pus	ADV
digne	digne	ADJ
d'	de	ADP
estre	èstre	VERB
gardat	garda	VERB
dins	dins	ADP
aquel	aquel	DET
couffret	cofret	NOUN
que	que	SCONJ
de	de	ADP
talo	tal	DET
rimalho	rimalha	NOUN
.	.	PUNCT
Ieu	ieu	PRON
ey	aver	AUX
troubat	trobar	VERB
aquo	aquò	PRON
en	en	ADP
de	de	ADP
brabes	brabe	ADJ
auturs	autur	NOUN
:	:	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
ieu	ieu	PRON
me	ieu	PRON
crenti	crentar	VERB
fort	fòrt	ADV
que	que	SCONJ
d'	de	ADP
aqo	aquò	PRON
sian	èsser	VERB
menturs	mentur	NOUN
.	.	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
,	,	PUNCT
Madamo	madama	NOUN
,	,	PUNCT
s'	se	SCONJ
ieu	ieu	PRON
mentissi	mentir	VERB
aprop	apròp	ADP
d'	de	ADP
autres	autre	PRON
,	,	PUNCT
el	el	PRON
<lb/>	lb	XML
me	ieu	PRON
semblo	semblar	VERB
que	que	SCONJ
,	,	PUNCT
quant	quant	ADV
als	a+lo	ADP+DET
homes	òme	NOUN
,	,	PUNCT
ieu	ieu	PRON
debi	dever	VERB
estre	èstre	VERB
<lb/>	lb	XML
esquzat	escusar	VERB
.	.	PUNCT
Ieu	ieu	PRON
ey	aver	AUX
troubat	trobar	VERB
enqaros	encaras	ADV
que	que	SCONJ
Jules	Jules	PROPN
Cesar	Cesar	PROPN
<lb/>	lb	XML
et	e	CCONJ
aprop	apròp	ADP
el	el	PRON
Augusto	Augusta	PROPN
nou	non	ADV
se	el	PRON
contenterou	contentar	VERB
pas	pas	ADV
de	de	ADP
<lb/>	lb	XML
ayma	aimar	VERB
et	e	CCONJ
honoura	onorar	VERB
lous	lo	DET
Poetos	poèta	NOUN
:	:	PUNCT
Mas	mas	CCONJ
elis	el	PRON
metisses	meteis	ADJ
<lb/>	lb	XML
feron	far	VERB
de	de	ADP
diberssos	divèrs	ADJ
hobros	òbra	NOUN
en	en	ADP
rimo	rima	NOUN
,	,	PUNCT
n'	non	ADV
estimans	estimar	VERB
ré	res	PRON
<lb/>	lb	XML
la	lo	DET
glorio	glòria	NOUN
de	de	ADP
lours	lor	DET
victorios	victòria	NOUN
,	,	PUNCT
s'	se	SCONJ
els	el	PRON
nou	non	ADV
las	el	PRON
poudian	poder	VERB
<lb/>	lb	XML
creisse	créisser	VERB
peis	puèi	ADV
aprop	apròp	ADV
per	per	ADP
lours	lor	DET
versses	vèrs	NOUN
.	.	PUNCT
Aquelis	aquel	DET
dous	2	PRON
<lb/>	lb	XML
Madamo	madama	NOUN
,	,	PUNCT
nou	non	ADV
voulguerou	voler	VERB
mespreza	mespresar	VERB
talo	tal	DET
sorto	sòrta	NOUN
<lb/>	lb	XML
d'	de	ADP
escrieure	escriure	VERB
:	:	PUNCT
et	e	CCONJ
peis	puèi	ADV
,	,	PUNCT
coumo	coma	ADV
sabets	saber	VERB
milhou	melhor	ADV
que	que	SCONJ
non	non	ADV
<lb/>	lb	XML
pas	pas	ADV
my	ieu	PRON
,	,	PUNCT
que	que	SCONJ
Platon	Platon	PROPN
et	e	CCONJ
Socrates	Socrates	PROPN
,	,	PUNCT
homes	òme	NOUN
de	de	ADP
grando	grand	ADJ
senssio	sensia	NOUN
,	,	PUNCT
se	el	PRON
soun	èsser	AUX
troubats	trobar	VERB
naturalomen	naturalament	ADV
rimaires	rimaire	NOUN
,	,	PUNCT
Lousquals	loqual	PRON
agueron	aver	AUX
,	,	PUNCT
coumo	coma	ADV
l'	lo	PRON
on	òm	PRON
pot	poder	VERB
vezé	véser	VERB
et	e	CCONJ
<lb/>	lb	XML
counoesse	conéisser	VERB
,	,	PUNCT
escrichios	escriure	VERB
forsso	fòrça	ADV
rimos	rima	NOUN
tant	tant	ADV
pla	plan	ADV
coumo	coma	ADV
lous	lo	DET
autres	autre	PRON
Poetos	poèta	NOUN
,	,	PUNCT
se	se	SCONJ
la	lo	DET
Philosofio	filosofia	NOUN
nou	non	ADV
lous	el	PRON
<lb/>	lb	XML
agués	aver	AUX
menats	menar	VERB
à	a	ADP
fa	far	VERB
de	de	ADP
causos	causa	NOUN
plus	plus	ADV
necessarios	necessari	ADJ
per	per	ADP
<lb/>	lb	XML
serbi	servir	VERB
à	a	ADP
la	lo	DET
cauzo	causa	NOUN
poubliquo	public	ADJ
.	.	PUNCT
Per	per	ADP
aquo	aquò	PRON
,	,	PUNCT
lous	lo	DET
que	qui	PRON
<lb/>	lb	XML
mesprezou	mespresar	VERB
las	lo	DET
rimos	rima	NOUN
,	,	PUNCT
podou	poder	VERB
counouesse	conéisser	VERB
qu'	que	SCONJ
elis	el	PRON
<lb/>	lb	XML
sou	èsser	VERB
d'	de	ADP
inoucens	innocent	ADJ
:	:	PUNCT
mas	mas	CCONJ
qu'	que	SCONJ
el	el	PRON
es	èsser	VERB
malaizit	malaisit	ADJ
à	a	ADP
contenta	contentar	VERB
<lb/>	lb	XML
tout	tot	DET
lou	lo	DET
mounde	monde	NOUN
,	,	PUNCT
car	car	CCONJ
tantos	tant	DET
bestios	bèstia	NOUN
no	non	ADV
mangiou	manjar	VERB
<lb/>	lb	XML
pas	pas	ADV
la	lo	DET
palho	palha	NOUN
ni	ni	CCONJ
lou	lo	DET
feê	fen	NOUN
.	.	PUNCT
<lb/>	lb	XML
Lous	lo	DET
us	un	PRON
aimou	aimar	VERB
la	lo	DET
rimo	rima	NOUN
,	,	PUNCT
et	e	CCONJ
lous	lo	DET
autres	autre	PRON
la	lo	DET
prozo	pròsa	NOUN
:	:	PUNCT
<lb/>	lb	XML
Lous	lo	DET
us	un	PRON
aimou	aimar	VERB
la	lo	DET
rhudo	ruda	NOUN
,	,	PUNCT
et	e	CCONJ
lous	lo	DET
autres	autre	PRON
la	lo	DET
rozo	ròsa	NOUN
.	.	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
per	per	ADP
nou	non	ADV
perdre	perdre	VERB
mon	mon	DET
tens	temps	NOUN
à	a	ADP
parla	parlar	VERB
d'	de	ADP
aquels	aquel	PRON
que	qui	PRON
<lb/>	lb	XML
nou	non	ADV
prezou	presar	VERB
ré	res	PRON
un	un	DET
tal	tal	ADJ
art	art	NOUN
,	,	PUNCT
ieu	ieu	PRON
me	ieu	PRON
qualarey	calar	VERB
,	,	PUNCT
et	e	CCONJ
lous	el	PRON
<lb/>	lb	XML
vau	anar	VERB
laissa	laissar	VERB
là	lai	ADV
coumo	coma	ADV
gens	gent	NOUN
qu’	qui	PRON
aimou	aimar	VERB
pas	pas	ADV
la	lo	DET
vertut	vertut	NOUN
.	.	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
ieu	ieu	PRON
ey	aver	AUX
vist	véser	VERB
que	que	SCONJ
de	de	ADP
vous	vos	PRON
perssouno	persona	NOUN
nou	non	ADV
pot	poder	VERB
<lb/>	lb	XML
pas	pas	ADV
dire	dire	VERB
aital	aital	ADV
:	:	PUNCT
car	car	CCONJ
si	se	SCONJ
l'	lo	PRON
on	òm	PRON
vanto	vantar	VERB
Alexandre	Alexandre	PROPN
lou	lo	DET
grant	grand	ADJ
<lb/>	lb	XML
per	per	ADP
abé	aver	AUX
serrados	serrar	VERB
las	lo	DET
obros	òbra	NOUN
d'	de	ADP
Homero	Omèra	PROPN
soulamen	solament	ADV
,	,	PUNCT
<lb/>	lb	XML
l'	lo	PRON
on	òm	PRON
sap	saber	VERB
fort	fòrt	ADV
plan	plan	ADV
que	que	SCONJ
vous	vos	PRON
n'	non	ADV
abets	aver	AUX
serrados	serrar	VERB
dins	dins	ADP
<lb/>	lb	XML
vostre	vòstre	DET
cabinet	cabinet	NOUN
uno	un	DET
carratado	carratada	NOUN
de	de	ADP
forsso	fòrça	ADV
de	de	ADP
rimaires	rimaire	NOUN
que	qui	PRON
las	el	PRON
vous	vos	PRON
an	aver	AUX
dados	dar	VERB
,	,	PUNCT
et	e	CCONJ
de	de	ADP
quino	quin	DET
lengo	lenga	NOUN
que	qui	PRON
<lb/>	lb	XML
foussou	èsser	VERB
,	,	PUNCT
toutos	tot	PRON
eron	èsser	AUX
pla	plan	ADV
vengudos	venir	VERB
de	de	ADP
vous	vos	PRON
.	.	PUNCT
Et	e	CCONJ
<lb/>	lb	XML
quant	quand	SCONJ
ieu	ieu	PRON
ey	aver	AUX
vist	véser	VERB
aquo	aquò	PRON
,	,	PUNCT
ieu	ieu	PRON
ey	aver	AUX
voulgut	voler	VERB
fa	far	VERB
coumo	coma	ADV
<lb/>	lb	XML
l'	lo	DET
Aze	ase	NOUN
,	,	PUNCT
que	qui	PRON
voulio	voler	VERB
caressa	caressar	VERB
son	son	DET
mestre	mèstre	NOUN
,	,	PUNCT
penssant	pensar	VERB
<lb/>	lb	XML
estre	èstre	VERB
tant	tant	ADV
pla	plan	ADV
vengut	venir	VERB
,	,	PUNCT
coumo	coma	ADV
l'	lo	DET
amistous	amistós	ADJ
caignot	canhòt	NOUN
.	.	PUNCT
<lb/>	lb	XML
Dos	2	NUM
razous	rason	NOUN
donc	donc	ADV
m'	ieu	PRON
an	aver	AUX
fah	far	VERB
faire	far	VERB
un	un	DET
tal	tal	ADJ
azard	asard	NOUN
:	:	PUNCT
l'	lo	DET
uno	un	DET
<lb/>	lb	XML
razou	rason	NOUN
es	èsser	VERB
,	,	PUNCT
que	que	SCONJ
l'	lo	PRON
on	òm	PRON
nou	non	ADV
trobo	trobar	VERB
pas	pas	ADV
bel	bèl	ADJ
quant	quand	SCONJ
un	un	DET
<lb/>	lb	XML
grant	grand	ADJ
paquet	paquet	NOUN
de	de	ADP
letros	letra	NOUN
s'	el	PRON
adresso	adressar	VERB
à	a	ADP
un	un	DET
noble	nòble	ADJ
persounatge	personatge	NOUN
,	,	PUNCT
et	e	CCONJ
peis	puèi	ADV
dins	dins	ADP
lou	lo	DET
paquet	paquet	NOUN
nou	non	ADV
trobo	trobar	VERB
que	que	SCONJ
<lb/>	lb	XML
uno	un	DET
soulo	sol	ADJ
lettro	letra	NOUN
que	que	SCONJ
s'	el	PRON
adresso	adressar	VERB
à	a	ADP
el	el	PRON
,	,	PUNCT
et	e	CCONJ
toutos	tot	DET
las	lo	DET
<lb/>	lb	XML
autros	autre	PRON
à	a	ADP
Peirot	Peiròt	PROPN
,	,	PUNCT
et	e	CCONJ
Guilhot	Guilhòt	PROPN
.	.	PUNCT
Mas	mas	CCONJ
la	lo	DET
plus	plus	ADV
grand	grand	ADJ
<lb/>	lb	XML
part	part	NOUN
de	de	ADP
las	lo	DET
letros	letra	NOUN
d'	de	ADP
aquest	aquest	DET
petit	petit	ADJ
libre	libre	NOUN
s'	el	PRON
adressou	adressar	VERB
à	a	ADP
<lb/>	lb	XML
vostre	vòstre	DET
grandour	grandor	NOUN
.	.	PUNCT
Et	e	CCONJ
peis	puèi	ADV
l'	lo	DET
autro	autre	ADJ
razou	rason	NOUN
,	,	PUNCT
que	qui	PRON
vous	vos	PRON
<lb/>	lb	XML
nou	non	ADV
troubariets	trobar	VERB
pas	pas	ADV
bel	bèl	ADJ
qu'	que	SCONJ
un	un	DET
home	òme	NOUN
que	qui	PRON
n'	non	ADV
a	aver	VERB
sonque	sonque	SCONJ
calque	calque	DET
fruh	fruch	NOUN
salbatge	salvatge	ADJ
,	,	PUNCT
n'	non	ADV
ane	anar	VERB
pana	panar	VERB
çà	ça	ADV
ni	ni	CCONJ
là	lai	ADV
de	de	ADP
<lb/>	lb	XML
plus	plus	ADV
bel	bèl	ADJ
per	per	ADP
faire	faire	VERB
de	de	ADP
presens	present	NOUN
,	,	PUNCT
et	e	CCONJ
dire	dire	VERB
que'	que	SCONJ
l	lo	DET
fruh	fruch	NOUN
es	èsser	VERB
<lb/>	lb	XML
de	de	ADP
sas	son	DET
terros	tèrra	NOUN
.	.	PUNCT
Vela	veilà	VERB
per	per	ADP
que	que	SCONJ
ieu	ieu	PRON
me	ieu	PRON
souy	èsser	AUX
pensat	pensar	VERB
que	que	SCONJ
<lb/>	lb	XML
vostro	vòstre	DET
Grandour	grandor	NOUN
presara	presar	VERB
may	mai	ADV
aisso	aiçò	PRON
tout	tot	ADV
mal	mal	ADV
raboutat	rabotar	VERB
,	,	PUNCT
qant	quand	SCONJ
es	èsser	VERB
de	de	ADP
mon	mon	DET
hort	òrt	NOUN
,	,	PUNCT
que	que	SCONJ
nou	non	ADV
presariats	presar	VERB
<lb/>	lb	XML
quicom	quicòm	PRON
de	de	ADP
plus	plus	ADV
bel	bèl	ADJ
que	qui	PRON
fousso	èsser	AUX
butinat	butinar	VERB
,	,	PUNCT
Vous	vos	PRON
pregan	pregar	VERB
fort	fòrt	ADV
humblomen	umblament	ADV
de	de	ADP
me	ieu	PRON
faire	faire	VERB
tant	tant	ADV
d'	de	ADP
hounour	onor	NOUN
<lb/>	lb	XML
de	de	ADP
lou	el	PRON
voulé	voler	VERB
reçebre	recebre	VERB
,	,	PUNCT
combé	comben	ADV
qu'	que	SCONJ
el	el	PRON
sio	èsser	VERB
mal	mal	ADV
fah	far	VERB
,	,	PUNCT
car	car	CCONJ
<lb/>	lb	XML
tout	tot	ADV
tal	tal	ADJ
qu'	que	SCONJ
el	el	PRON
es	èsser	VERB
,	,	PUNCT
ieu	ieu	PRON
lou	el	PRON
vous	vos	PRON
huffrissi	ufrir	VERB
de	de	ADP
milhiour	melhor	ADV
<lb/>	lb	XML
cor	còr	NOUN
,	,	PUNCT
que	que	SCONJ
jamay	jamai	ADV
vailet	vailet	NOUN
vous	vos	PRON
agio	aver	AUX
ré	res	PRON
bailat	balhar	VERB
,	,	PUNCT
pregan	pregar	VERB
<lb/>	lb	XML
lou	lo	DET
bon	bon	ADJ
Dieu	Dieu	PROPN
,	,	PUNCT
MADAMO	madama	NOUN
,	,	PUNCT
de	de	ADP
vous	vos	PRON
douna	donar	VERB
tres	très	ADV
<lb/>	lb	XML
perfacho	perfach	ADJ
santat	santat	NOUN
,	,	PUNCT
et	e	CCONJ
tres	très	ADV
loungo	long	ADJ
et	e	CCONJ
tres	très	ADV
hurouzo	urós	ADJ
<lb/>	lb	XML
vido	vida	NOUN
,	,	PUNCT
amay	amai	ADV
l'	lo	DET
acomplimen	acompliment	NOUN
de	de	ADP
vostres	vòstre	DET
bons	bon	ADJ
dezirs	desir	NOUN
.	.	PUNCT
<lb/>	lb	XML
De	de	ADP
Pau	Pau	PROPN
,	,	PUNCT
aquest	aquest	DET
purmié	primièr	PRON
de	de	ADP
Giner	genièr	NOUN
,	,	PUNCT
1592	1592	NUM
.	.	PUNCT
<lb/>	lb	XML
Vostre	vòstre	DET
tres	très	ADV
homble	omble	ADJ
,	,	PUNCT
et	e	CCONJ
tres	très	ADV
obedien	obedient	ADJ
Vailet	vailet	NOUN
<lb/>	lb	XML
AUGER	Augièr	PROPN
GAILHARD	Galhard	PROPN
.	.	PUNCT
###		
<lb/>	lb	XML
La	lo	DET
bestio	bèstia	NOUN
que	qui	PRON
vezets	véser	VERB
al	a+lo	ADP+DET
pres	près	NOUN
de	de	ADP
mon	mon	DET
visatge	visatge	NOUN
,	,	PUNCT
<lb/>	lb	XML
Elo	el	PRON
n'	non	ADV
és	èsser	VERB
pas	pas	ADV
falcou	falcon	NOUN
,	,	PUNCT
ni	ni	CCONJ
auzel	ausèl	NOUN
de	de	ADP
passatge	passatge	NOUN
,	,	PUNCT
<lb/>	lb	XML
Ni	ni	CCONJ
phenix	fenix	NOUN
,	,	PUNCT
ni	ni	CCONJ
buzac	busac	NOUN
:	:	PUNCT
mas	mas	CCONJ
qu'	que	PART
és	èsser	VERB
un	un	DET
galh	galh	NOUN
qu'	qui	PRON
el	el	PRON
ard	ardre	VERB
,	,	PUNCT
<lb/>	lb	XML
Que	qui	PRON
sinifiquo	significar	VERB
fort	fòrt	ADV
lou	lo	DET
surnom	surnom	NOUN
de	de	ADP
Galhard	Galhard	PROPN
.	.	PUNCT
###		
<lb/>	lb	XML
Augié	Augièr	PROPN
Gaillard	Galhard	PROPN
prego	pregar	VERB
Mosur	monsur	NOUN
de	de	ADP
Roquos	Ròcas	PROPN
d'	de	ADP
ana	anar	VERB
prega	pregar	VERB
Madamo	madama	NOUN
de	de	ADP
ly	el	PRON
fa	far	VERB
douna	donar	VERB
la	lo	DET
Moro	mòre	NOUN
per	per	ADP
moulhe	molhèr	NOUN
.	.	PUNCT
<lb/>	lb	XML
Moussur	monsur	NOUN
mon	mon	DET
bon	bon	ADJ
amic	amic	NOUN
,	,	PUNCT
el	el	PRON
a	aver	VERB
degia	déjà	ADV
lonc	long	ADJ
tens	temps	NOUN
,	,	PUNCT
<lb/>	lb	XML
Que	que	SCONJ
ieu	ieu	PRON
Augie	Augièr	PROPN
Gaillard	Galhard	PROPN
Roudié	rodièr	NOUN
de	de	ADP
Rabastens	Rabastens	PROPN
,	,	PUNCT
<lb/>	lb	XML
Abio	aver	VERB
fort	fòrt	ADV
grant	grand	ADJ
desir	desir	NOUN
de	de	ADP
fa	far	VERB
mon	mon	DET
maridatge	maridatge	NOUN
,	,	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
nou	non	ADV
gausabo	gausar	VERB
dire	dire	VERB
à	a	ADP
cap	cap	PRON
de	de	ADP
persounatge	personatge	NOUN
,	,	PUNCT
<lb/>	lb	XML
Per	per	ADP
so	çò	PRON
qu'	qui	PRON
ey	aver	AUX
descubert	descubrir	VERB
que	que	SCONJ
forsso	fòrça	ADV
serbidous	servidor	NOUN
<lb/>	lb	XML
son	èsser	AUX
estats	estar	VERB
fort	fòrt	ADV
trompats	trompar	VERB
per	per	ADP
de	de	ADP
maissans	maissant	ADJ
traidous	traïdor	NOUN
.	.	PUNCT
<lb/>	lb	XML
Ieu	ieu	PRON
ey	aver	AUX
vist	véser	VERB
en	en	ADP
mon	mon	DET
tens	temps	NOUN
grant	grand	ADJ
nombre	nombre	NOUN
d'	de	ADP
amourouses	amorós	ADJ
,	,	PUNCT
<lb/>	lb	XML
Que	qui	PRON
lous	lo	DET
paures	paure	ADJ
de	de	ADP
sots	sòt	NOUN
et	e	CCONJ
paures	paure	ADJ
malhurouses	malurós	ADJ
<lb/>	lb	XML
Contabon	contar	VERB
un	un	DET
tel	tal	ADJ
fach	far	VERB
à	a	ADP
de	de	ADP
galafretiés	galefretièr	NOUN
,	,	PUNCT
<lb/>	lb	XML
Per	per	ADP
so	çò	PRON
qu'	qui	PRON
els	el	PRON
lous	el	PRON
tenian	tenir	VERB
per	per	ADP
lours	lor	DET
amics	amic	NOUN
entiés	entièr	ADJ
,	,	PUNCT
<lb/>	lb	XML
Que	qui	PRON
peissos	puèissas	ADV
lous	lo	DET
maissans	maissant	NOUN
parlans	parlar	VERB
del	de+lo	ADP+DET
maridatge	maridatge	NOUN
,	,	PUNCT
<lb/>	lb	XML
A	a	ADP
la	lo	DET
pauro	paure	ADJ
gougiato	gojat	NOUN
els	el	PRON
cercabon	cercar	VERB
autratge	autratge	NOUN
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
d'	de	ADP
autres	autre	PRON
que	qui	PRON
la	lo	DET
filio	filh	NOUN
espouzabon	esposar	VERB
per	per	ADP
els	el	PRON
:	:	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
ieu	ieu	PRON
counoessi	conéisser	VERB
pla	plan	ADV
que	que	SCONJ
vous	vos	PRON
n'	non	ADV
ets	èsser	VERB
pas	pas	ADV
d'	de	ADP
aquels	aquel	PRON
,	,	PUNCT
<lb/>	lb	XML
Al	a+lo	ADP+DET
vostre	vòstre	DET
camina	caminar	NOUN
,	,	PUNCT
et	e	CCONJ
al	a+lo	ADP+DET
vostre	vòstre	DET
visatge	visatge	NOUN
<lb/>	lb	XML
Counoessi	conéisser	VERB
que	que	SCONJ
jouga	jogar	VERB
nou	non	ADV
vouldriats	voler	VERB
tal	tal	DET
autratge	autratge	NOUN
<lb/>	lb	XML
Al	a+lo	ADP+DET
paure	paure	ADJ
Augié	Augièr	PROPN
Gaillard	Galhard	PROPN
,	,	PUNCT
vous	vos	PRON
counoissez	conéisser	VERB
fort	fòrt	ADV
.	.	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
ieu	ieu	PRON
saben	saber	VERB
que	que	SCONJ
vous	vos	PRON
nou	non	ADV
me	ieu	PRON
vouldriats	voler	VERB
tal	tal	DET
tort	tòrt	NOUN
<lb/>	lb	XML
Vous	vos	PRON
pregui	pregar	VERB
d'	de	ADP
ana	anar	VERB
dire	dire	VERB
à	a	ADP
la	lo	DET
Noblo	nòble	ADJ
Princesso	prince	NOUN
,	,	PUNCT
<lb/>	lb	XML
Que	que	SCONJ
ieu	ieu	PRON
souy	èsser	VERB
amourous	amorós	ADJ
d'	de	ADP
aquelo	aquel	DET
Mouroulesso	morèl	NOUN
,	,	PUNCT
<lb/>	lb	XML
Mai	mai	ADV
qu'	que	SCONJ
en	en	ADP
cap	cap	PRON
d'	de	ADP
autro	autre	DET
part	part	NOUN
jamay	jamai	ADV
nou	non	ADV
fouri	èsser	VERB
pon	ponch	ADV
<lb/>	lb	XML
Per	per	ADP
nau	9	DET
o	o	CCONJ
dets	10	NUM
rasons	rason	NOUN
las	lo	DET
plus	plus	ADV
grandos	grand	ADJ
del	de+lo	ADP+DET
mon	monde	NOUN
.	.	PUNCT
<lb/>	lb	XML
Premieramen	primierament	ADV
ieu	ieu	PRON
l'	el	PRON
aymi	aimar	VERB
à	a	ADP
cauzo	causa	NOUN
qu'	que	SCONJ
és	èsser	VERB
crestiano	crestian	ADJ
,	,	PUNCT
<lb/>	lb	XML
Encaros	encaras	ADV
que	que	SCONJ
sio	èsser	VERB
mai	mai	ADV
negro	negre	ADJ
qu'	que	SCONJ
uno	un	DET
castanio	castanha	NOUN
,	,	PUNCT
<lb/>	lb	XML
Encaros	encaras	ADV
que	que	SCONJ
plan	plan	ADV
fort	fòrt	ADV
la	el	PRON
vegio	véser	VERB
negregia	negrejar	VERB
,	,	PUNCT
<lb/>	lb	XML
Ieu	ieu	PRON
l'	el	PRON
ami	aimar	VERB
grandamen	grandament	ADV
quant	quand	SCONJ
se	el	PRON
fec	far	VERB
bategia	baptejar	VERB
.	.	PUNCT
<lb/>	lb	XML
Car	car	CCONJ
Dieu	Dieu	PROPN
perdouno	perdonar	VERB
touts	tot	PRON
,	,	PUNCT
et	e	CCONJ
dis	dire	VERB
qu'	que	SCONJ
el	el	PRON
vol	voler	VERB
qu'	que	SCONJ
on	òm	PRON
visquo	viure	VERB
,	,	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
que	que	SCONJ
s'	se	SCONJ
on	òm	PRON
es	èsser	VERB
maissan	maissant	ADJ
,	,	PUNCT
que	que	SCONJ
l'	lo	PRON
on	òm	PRON
se	el	PRON
